EpochSecTime,JD0,JD1,PosX,PosY,PosZ,VelX,VelY,VelZ,OrbEl_SMA,OrbEl_Eccentricity,OrbEl_Inclination,OrbEl_RAAN,OrbEl_ArgOfPerigee,OrbEl_MeanAnomaly,OrbEl_TrueAnomaly,Access,Azimuth,Elevation,Latitude(deg),Longitude(deg),
14780,2453372.50000,46781.00000,-6609.62214,-1329.52859,-1781.45456,2.41096,-4.48238,-5.59305,6976.63931,0.00052,0.89874,6.26988,3.94032,5.81748,5.81701,0,287.0,-69.1,-14.9,-105.7,
14800,2453372.50000,46801.00000,-6559.85157,-1418.85624,-1892.88651,2.56590,-4.45004,-5.54970,6976.47968,0.00051,0.89873,6.26988,4.00117,5.77834,5.77785,0,285.2,-69.1,-15.9,-104.9,
14820,2453372.50000,46821.00000,-6506.99411,-1507.51621,-2003.42530,2.71963,-4.41561,-5.50374,6976.31168,0.00050,0.89872,6.26987,4.06372,5.73751,5.73699,0,283.3,-69.0,-16.8,-104.2,
14840,2453372.50000,46841.00000,-6451.07479,-1595.46682,-2113.01882,2.87208,-4.37911,-5.45518,6976.13566,0.00049,0.89871,6.26987,4.12809,5.69485,5.69431,0,281.5,-69.0,-17.8,-103.4,
14860,2453372.50000,46861.00000,-6392.12003,-1682.66671,-2221.61539,3.02316,-4.34054,-5.40405,6975.95198,0.00048,0.89870,6.26986,4.19441,5.65026,5.64969,0,279.7,-68.9,-18.7,-102.6,
14880,2453372.50000,46881.00000,-6330.15775,-1769.07491,-2329.16384,3.17282,-4.29994,-5.35037,6975.76102,0.00047,0.89869,6.26985,4.26276,5.60362,5.60302,0,277.8,-68.8,-19.7,-101.8,
14900,2453372.50000,46901.00000,-6265.21722,-1854.65078,-2435.61347,3.32098,-4.25731,-5.29417,6975.56314,0.00046,0.89867,6.26985,4.33326,5.55484,5.55422,0,276.1,-68.6,-20.6,-101.0,
14920,2453372.50000,46921.00000,-6197.32917,-1939.35412,-2540.91413,3.46756,-4.21269,-5.23548,6975.35875,0.00045,0.89866,6.26984,4.40597,5.50384,5.50321,0,274.3,-68.5,-21.5,-100.2,
14940,2453372.50000,46941.00000,-6126.52567,-2023.14513,-2645.01620,3.61251,-4.16608,-5.17432,6975.14822,0.00045,0.89865,6.26983,4.48093,5.45059,5.44994,0,272.5,-68.3,-22.4,-99.4,
14960,2453372.50000,46961.00000,-6052.84020,-2105.98444,-2747.87065,3.75575,-4.11752,-5.11072,6974.93195,0.00044,0.89864,6.26982,4.55816,5.39508,5.39440,0,270.8,-68.2,-23.4,-98.6,
14980,2453372.50000,46981.00000,-5976.30759,-2187.83315,-2849.42903,3.89721,-4.06703,-5.04472,6974.71032,0.00043,0.89863,6.26981,4.63763,5.33733,5.33663,0,269.1,-68.0,-24.3,-97.8,
15000,2453372.50000,47001.00000,-5896.96397,-2268.65280,-2949.64351,4.03684,-4.01462,-4.97634,6974.48375,0.00042,0.89861,6.26980,4.71923,5.27743,5.27672,0,267.4,-67.8,-25.2,-96.9,
15020,2453372.50000,47021.00000,-5814.84685,-2348.40545,-3048.46691,4.17455,-3.96033,-4.90561,6974.25266,0.00042,0.89860,6.26979,4.80283,5.21555,5.21482,0,265.7,-67.6,-26.1,-96.0,
15040,2453372.50000,47041.00000,-5729.99500,-2427.05367,-3145.85271,4.31030,-3.90418,-4.83258,6974.01749,0.00041,0.89859,6.26978,4.88820,5.15190,5.15115,0,264.1,-67.3,-27.0,-95.2,
15060,2453372.50000,47061.00000,-5642.44850,-2504.56052,-3241.75508,4.44401,-3.84620,-4.75728,6973.77871,0.00041,0.89857,6.26977,4.97505,5.08675,5.08599,0,262.5,-67.1,-27.9,-94.3,
15080,2453372.50000,47081.00000,-5552.24867,-2580.88963,-3336.12887,4.57562,-3.78641,-4.67973,6973.53676,0.00041,0.89856,6.26975,5.06305,5.02047,5.01969,0,260.9,-66.9,-28.8,-93.4,
15100,2453372.50000,47101.00000,-5459.43810,-2656.00519,-3428.92970,4.70507,-3.72485,-4.59999,6973.29213,0.00041,0.89854,6.26974,5.15179,4.95343,4.95264,0,259.4,-66.6,-29.6,-92.4,
15120,2453372.50000,47121.00000,-5364.06058,-2729.87195,-3520.11391,4.83230,-3.66154,-4.51808,6973.04529,0.00041,0.89853,6.26972,5.24086,4.88607,4.88527,0,257.9,-66.3,-30.5,-91.5,
15140,2453372.50000,47141.00000,-5266.16112,-2802.45527,-3609.63860,4.95726,-3.59651,-4.43404,6972.79673,0.00041,0.89852,6.26971,5.32979,4.81885,4.81804,0,256.4,-66.0,-31.4,-90.5,
15160,2453372.50000,47161.00000,-5165.78590,-2873.72111,-3697.46169,5.07987,-3.52980,-4.34792,6972.54692,0.00041,0.89850,6.26969,5.41814,4.75220,4.75139,0,254.9,-65.7,-32.2,-89.5,
15180,2453372.50000,47181.00000,-5062.98227,-2943.63604,-3783.54188,5.20009,-3.46143,-4.25976,6972.29637,0.00041,0.89849,6.26967,5.50548,4.68657,4.68574,0,253.5,-65.4,-33.0,-88.5,
15200,2453372.50000,47201.00000,-4957.79870,-3012.16729,-3867.83872,5.31785,-3.39143,-4.16959,6972.04559,0.00042,0.89847,6.26966,5.59142,4.62234,4.62151,0,252.1,-65.1,-33.9,-87.5,
15220,2453372.50000,47221.00000,-4850.28478,-3079.28274,-3950.31258,5.43311,-3.31985,-4.07747,6971.79508,0.00042,0.89846,6.26964,5.67561,4.55986,4.55902,0,250.7,-64.8,-34.7,-86.5,
15240,2453372.50000,47241.00000,-4740.49120,-3144.95093,-4030.92471,5.54581,-3.24671,-3.98343,6971.54529,0.00043,0.89844,6.26962,5.75778,4.49939,4.49855,0,249.4,-64.5,-35.5,-85.4,
15260,2453372.50000,47261.00000,-4628.46968,-3209.14108,-4109.63724,5.65590,-3.17205,-3.88752,6971.29670,0.00044,0.89843,6.26960,5.83773,4.44114,4.44029,0,248.0,-64.1,-36.3,-84.3,
15280,2453372.50000,47281.00000,-4514.27301,-3271.82314,-4186.41320,5.76332,-3.09591,-3.78978,6971.04976,0.00045,0.89842,6.26958,5.91532,4.38525,4.38441,0,246.8,-63.8,-37.1,-83.2,
15300,2453372.50000,47301.00000,-4397.95499,-3332.96772,-4261.21652,5.86803,-3.01831,-3.69026,6970.80491,0.00046,0.89840,6.26955,5.99047,4.33181,4.33096,0,245.5,-63.4,-37.9,-82.0,
15320,2453372.50000,47321.00000,-4279.57039,-3392.54620,-4334.01208,5.96997,-2.93930,-3.58901,6970.56259,0.00047,0.89839,6.26953,6.06314,4.28084,4.27999,0,244.3,-63.0,-38.6,-80.9,
